#Solutions
40	0	1
40	1	0
40	439710	0
40	439910	0
40	439769	1
40	439989	1
40	439992	1
40	439884	1
40	439790	1
40	2445832	1
40	2445826	1
40	2445833	1
40	2445827	1
40	439953	1

41	0	0
41	1	1
41	439710	1
41	439910	1
41	439769	0
41	439989	0
41	439992	0
41	439884	0
41	439790	0
41	2445832	0
41	2445826	0
41	2445833	0
41	2445827	0
41	439953	0

#Intermediate Results
42	0	1
42	1	0
42	439710	0
42	439910	1
42	439769	0
42	439989	0
42	439992	0
42	439884	1
42	439790	1
42	2445832	1
42	2445826	1
42	2445833	1
42	2445827	1
42	439953	1

43	0	1
43	1	0
43	439710	0
43	439910	0
43	439769	0
43	439989	0
43	439992	0
43	439884	0
43	439790	0
43	2445832	0
43	2445826	0
43	2445833	0
43	2445827	1
43	439953	1

44	0	1
44	1	0
44	439710	1
44	439910	1
44	439769	0
44	439989	0
44	439992	0
44	439884	0
44	439790	1
44	2445832	1
44	2445826	1
44	2445833	1
44	2445827	1
44	439953	0

45	0	1
45	1	0
45	439710	0
45	439910	0
45	439769	1
45	439989	1
45	439992	1
45	439884	1
45	439790	1
45	2445832	1
45	2445826	1
45	2445833	1
45	2445827	1
45	439953	1

46	0	1
46	1	0
46	439710	0
46	439910	1
46	439769	0
46	439989	0
46	439992	0
46	439884	0
46	439790	1
46	2445832	1
46	2445826	1
46	2445833	1
46	2445827	1
46	439953	0

47	0	1
47	1	0
47	439710	0
47	439910	0
47	439769	0
47	439989	0
47	439992	0
47	439884	0
47	439790	0
47	2445832	0
47	2445826	0
47	2445833	1
47	2445827	1
47	439953	0

48	0	1
48	1	0
48	439710	0
48	439910	0
48	439769	0
48	439989	0
48	439992	0
48	439884	0
48	439790	0
48	2445832	0
48	2445826	0
48	2445833	0
48	2445827	1
48	439953	0

49	0	1
49	1	0
49	439710	0
49	439910	1
49	439769	1
49	439989	1
49	439992	1
49	439884	1
49	439790	1
49	2445832	1
49	2445826	1
49	2445833	1
49	2445827	1
49	439953	1

50	0	1
50	1	0
50	439710	0
50	439910	0
50	439769	0
50	439989	0
50	439992	0
50	439884	0
50	439790	0
50	2445832	0
50	2445826	0
50	2445833	0
50	2445827	0
50	439953	1

51	0	1
51	1	0
51	439710	0
