#Request 439857
0	439857	BBK	CBE	11	20
#Request 439514
1	439514	CBE	BBK	11	40
#Request 439720
1	439720	CBE	BBK	11	40
#Request 439960
1	439960	CBE	BBK	11	40
#Request 439965
1	439965	CBE	BBK	11	40
#Request 439833
1	439833	BBK	SWI	13	15
#Request 439844
0	439844	MUB	CTB	13	45
#Request 439860
0	439860	MUB	CTB	13	45
0	439860	CTB	CBE	14	20
#Request 439849
0	439849	MUB	CTB	13	45
#Request 439474
0	439474	CTB	CBE	14	20
#Request 440015
0	440015	CBE	SLI	11	35
0	440015	SLI	OMD	12	5
0	440015	OMD	PPM	12	30
#Request 440013
0	440013	CBE	SLI	11	35
0	440013	SLI	OMD	12	5
0	440013	OMD	PPM	12	30
#Request 439758
0	439758	SLI	OMD	12	5
