# id	orig.	dest.	earl. dep min	earl. dep day	lates. arr. min	lates. arr. day	pass. weight	max. intermediate stops	max. detour
439710	HND	CTB	660	1	930	1	2	428	2	0.5
439910	XIG	CTB	660	1	930	1	2	438	2	0.5
439769	KHP	JAO	660	1	900	1	4	856	2	0.5
439989	KHP	JAO	660	1	900	1	3	647	2	0.5
439992	KHP	JAO	660	1	900	1	2	438	2	0.5
439884	KHP	VUM	660	1	930	1	2	428	2	0.5
439790	JAO	KHW	660	1	930	1	2	438	2	0.5
2445832	XIG	KHW	630	1	930	1	4	752	2	0.5
2445826	XIG	KHW	630	1	930	1	3	637	2	0.5
2445833	KHW	CBE	840	1	930	1	4	752	2	0.5
2445827	KHW	CBE	840	1	930	1	3	637	2	0.5
439857	BBK	CBE	640	1	900	1	2	446	2	0.5
439514	CBE	BBK	660	1	840	1	2	428	2	0.5
439720	CBE	BBK	660	1	930	1	4	856	2	0.5
439960	CBE	BBK	660	1	930	1	4	836	2	0.5
439965	CBE	BBK	660	1	930	1	2	438	2	0.5
439833	BBK	SWI	600	1	930	1	11	2151	2	0.5
