# id	orig.	dest.	earl. dep min	earl. dep day	lates. arr. min	lates. arr. day	pass. weight	max. intermediate stops	max. detour
439844	MUB	CTB	770	1	840	1	6	1201	2	0.5
439860	MUB	CBE	770	1	870	1	2	428	2	0.5
439849	MUB	CTB	770	1	870	1	2	428	2	0.5
439474	CTB	CBE	660	1	930	1	2	418	2	0.5
440015	CBE	PPM	660	1	900	1	4	846	2	0.5
440013	CBE	PPM	660	1	900	1	2	418	2	0.5
439758	SLI	OMD	660	1	930	1	2	380	2	0.5
439509	VUM	MOM	660	1	930	1	2	428	2	0.5
439489	MOM	BBK	660	1	870	1	2	428	2	0.5
439543	MOM	MUB	690	1	800	1	2	418	2	0.5
