#Request 439744
0	439744	SWI	BBK	10	0
#Request 439955
0	439955	SWI	BBK	10	0
#Request 439978
0	439978	BBK	XIG	11	50
#Request 439794
1	439794	JAO	VUM	11	45
#Request 439519
0	439519	VUM	CBE	12	40
#Request 439947
0	439947	CBE	VUM	13	10
#Request 439899
0	439899	CBE	VUM	13	10
#Request 439942
0	439942	CBE	VUM	13	10
#Request 439753
0	439753	CBE	VUM	13	10
#Request 439781
0	439781	VUM	ABU	13	30
#Request 439999
0	439999	VUM	ABU	13	30
#Request 2445752
0	2445752	VUM	ABU	13	30
#Request 439351
1	439351	CBE	MUB	9	55
#Request 439745
1	439745	CTB	JAO	11	25
#Request 2438936
1	2438936	OMD	MUB	12	50
#Request 439853
1	439853	MUB	CTB	13	45
1	439853	CTB	MOM	14	15
#Request 439764
1	439764	CTB	MOM	14	15
1	439764	MOM	VUM	14	30
